Date,Count
2021-08-03,1
2021-09-13,1
2021-10-26,1
2021-11-05,1
2022-02-16,1
2022-03-25,1
2022-04-19,1
2022-10-10,1
2023-01-11,1
2023-01-19,2
2023-01-26,1
2023-01-30,1
2023-02-07,1
2023-02-15,1
2023-02-17,1
2023-02-24,1
2023-03-21,1
2023-03-23,1
2023-03-24,1
2023-03-28,1
2023-03-30,1
2023-04-04,1
2023-04-28,1
2023-04-29,1
2023-05-10,1
2023-05-11,1
2023-05-15,1
2023-05-16,2
2023-05-21,1
2023-05-23,1
2023-05-24,1
2023-05-30,1
2023-06-06,2
2023-06-07,1
2023-06-12,1
2023-06-13,1
2023-06-14,1
2023-06-27,1
2023-07-12,2
2023-07-13,1
2023-07-14,1
2023-07-18,1
2023-08-11,2
2023-08-14,1
2023-08-18,1
2023-08-19,1
2023-08-21,1
2023-09-01,1
2023-09-05,1
2023-09-08,1
2023-09-19,1
2023-09-26,1
2023-11-30,1
2023-12-07,1
2023-12-12,1
2024-02-29,1
2024-03-17,1
2024-03-20,1
2024-03-31,1
2024-04-26,1
2024-04-30,2
2024-05-03,1
2024-05-13,1
2024-05-15,1
2024-05-18,1
2024-05-22,1
2024-05-24,1
2024-05-28,1
2024-05-29,1
2024-05-30,1
2024-06-09,1
2024-06-24,1
2024-06-26,1
2024-07-08,2
2024-07-09,2
2024-07-10,1
2024-07-12,3
2024-07-16,2
2024-07-17,5
2024-07-22,1
2024-07-23,4
2024-07-25,5
2024-07-26,1
2024-07-30,5
2024-08-01,5
2024-08-02,28
2024-08-03,15
2024-08-05,11
2024-08-06,13
2024-08-07,17
2024-08-08,2
2024-08-09,1
2024-08-10,1
2024-08-12,2
2024-08-13,1
2024-08-15,2
2024-08-16,3
2024-08-20,1
2024-08-21,2
2024-08-22,1
2024-08-23,4
2024-08-25,3
2024-08-26,2
2024-08-27,4
2024-08-28,5
2024-08-29,19
2024-08-31,7
2024-09-02,3
2024-09-03,2
2024-09-04,9
2024-09-05,1
2024-09-06,5
2024-09-07,1
2024-09-09,2
2024-09-11,1
2024-09-12,3
2024-09-13,2
2024-09-15,1
2024-09-16,5
2024-09-17,7
2024-09-18,6
2024-09-19,5
2024-09-20,4
2024-09-21,1
2024-09-23,3
2024-09-24,1
2024-09-25,1
2024-09-26,6
2024-09-27,3
2024-09-29,1
2024-09-30,5
2024-10-01,1
2024-10-02,1
2024-10-03,3
2024-10-05,135
2024-10-06,30
2024-10-07,51
2024-10-08,27
2024-10-09,56
2024-10-10,40
2024-10-11,5
2024-10-12,4
2024-10-13,1
2024-10-14,83
2024-10-15,10
2024-10-16,68
2024-10-17,9
2024-10-18,35
2024-10-19,1
2024-10-20,1
2024-10-21,2
2024-10-22,15
2024-10-23,49
2024-10-24,60
